"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","1995","Architectural and engineering activities; technical testing and analysis (71)","Other Taxes less Other Subsidies on Production","Euro Million","2"
"Gross Value Added (GVA) at Current Market Prices","1995","Architectural and engineering activities; technical testing and analysis (71)","Gross Value Added (GVA) at Basic Prices","Euro Million","277"
"Gross Value Added (GVA) at Current Market Prices","1995","Scientific research and development (72)","Compensation of Employees","Euro Million","31"
"Gross Value Added (GVA) at Current Market Prices","1995","Scientific research and development (72)","Net Operating Surplus and Net Mixed Income","Euro Million","6"
"Gross Value Added (GVA) at Current Market Prices","1995","Scientific research and development (72)","Consumption of Fixed Capital","Euro Million","25"
"Gross Value Added (GVA) at Current Market Prices","1995","Scientific research and development (72)","Other Taxes less Other Subsidies on Production","Euro Million","1"
"Gross Value Added (GVA) at Current Market Prices","1995","Scientific research and development (72)","Gross Value Added (GVA) at Basic Prices","Euro Million","63"
"Gross Value Added (GVA) at Current Market Prices","1995","Advertising and market research (73)","Compensation of Employees","Euro Million","52"
"Gross Value Added (GVA) at Current Market Prices","1995","Advertising and market research (73)","Net Operating Surplus and Net Mixed Income","Euro Million","16"
"Gross Value Added (GVA) at Current Market Prices","1995","Advertising and market research (73)","Consumption of Fixed Capital","Euro Million","23"
"Gross Value Added (GVA) at Current Market Prices","1995","Advertising and market research (73)","Other Taxes less Other Subsidies on Production","Euro Million","-1"
"Gross Value Added (GVA) at Current Market Prices","1995","Advertising and market research (73)","Gross Value Added (GVA) at Basic Prices","Euro Million","90"
"Gross Value Added (GVA) at Current Market Prices","1995","Other professional, scientific, technical and veterinary activities (74 to 75)","Compensation of Employees","Euro Million","179"
"Gross Value Added (GVA) at Current Market Prices","1995","Other professional, scientific, technical and veterinary activities (74 to 75)","Net Operating Surplus and Net Mixed Income","Euro Million","97"
"Gross Value Added (GVA) at Current Market Prices","1995","Other professional, scientific, technical and veterinary activities (74 to 75)","Consumption of Fixed Capital","Euro Million","23"
"Gross Value Added (GVA) at Current Market Prices","1995","Other professional, scientific, technical and veterinary activities (74 to 75)","Other Taxes less Other Subsidies on Production","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","1995","Other professional, scientific, technical and veterinary activities (74 to 75)","Gross Value Added (GVA) at Basic Prices","Euro Million","303"
"Gross Value Added (GVA) at Current Market Prices","1995","Renting and leasing activities (77)","Compensation of Employees","Euro Million","32"
