"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","2002","Food products, beverages and tobacco (10 to 12)","Other Taxes less Other Subsidies on Production","Euro Million","61"
"Gross Value Added (GVA) at Current Market Prices","2002","Food products, beverages and tobacco (10 to 12)","Gross Value Added (GVA) at Basic Prices","Euro Million","5027"
"Gross Value Added (GVA) at Current Market Prices","2002","Textiles, wearing apparel and leather products (13 to 15)","Compensation of Employees","Euro Million","240"
"Gross Value Added (GVA) at Current Market Prices","2002","Textiles, wearing apparel and leather products (13 to 15)","Net Operating Surplus and Net Mixed Income","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","2002","Textiles, wearing apparel and leather products (13 to 15)","Consumption of Fixed Capital","Euro Million","63"
"Gross Value Added (GVA) at Current Market Prices","2002","Textiles, wearing apparel and leather products (13 to 15)","Other Taxes less Other Subsidies on Production","Euro Million","15"
"Gross Value Added (GVA) at Current Market Prices","2002","Textiles, wearing apparel and leather products (13 to 15)","Gross Value Added (GVA) at Basic Prices","Euro Million","323"
"Gross Value Added (GVA) at Current Market Prices","2002","Wood and wood products, except furniture (16)","Compensation of Employees","Euro Million","202"
"Gross Value Added (GVA) at Current Market Prices","2002","Wood and wood products, except furniture (16)","Net Operating Surplus and Net Mixed Income","Euro Million","109"
"Gross Value Added (GVA) at Current Market Prices","2002","Wood and wood products, except furniture (16)","Consumption of Fixed Capital","Euro Million","32"
"Gross Value Added (GVA) at Current Market Prices","2002","Wood and wood products, except furniture (16)","Other Taxes less Other Subsidies on Production","Euro Million","3"
"Gross Value Added (GVA) at Current Market Prices","2002","Wood and wood products, except furniture (16)","Gross Value Added (GVA) at Basic Prices","Euro Million","346"
"Gross Value Added (GVA) at Current Market Prices","2002","Paper and paper products (17)","Compensation of Employees","Euro Million","242"
"Gross Value Added (GVA) at Current Market Prices","2002","Paper and paper products (17)","Net Operating Surplus and Net Mixed Income","Euro Million","31"
"Gross Value Added (GVA) at Current Market Prices","2002","Paper and paper products (17)","Consumption of Fixed Capital","Euro Million","31"
"Gross Value Added (GVA) at Current Market Prices","2002","Paper and paper products (17)","Other Taxes less Other Subsidies on Production","Euro Million","3"
"Gross Value Added (GVA) at Current Market Prices","2002","Paper and paper products (17)","Gross Value Added (GVA) at Basic Prices","Euro Million","306"
"Gross Value Added (GVA) at Current Market Prices","2002","Printing and reproduction of recorded media (18)","Compensation of Employees","Euro Million","296"
"Gross Value Added (GVA) at Current Market Prices","2002","Printing and reproduction of recorded media (18)","Net Operating Surplus and Net Mixed Income","Euro Million","263"
"Gross Value Added (GVA) at Current Market Prices","2002","Printing and reproduction of recorded media (18)","Consumption of Fixed Capital","Euro Million","53"
"Gross Value Added (GVA) at Current Market Prices","2002","Printing and reproduction of recorded media (18)","Other Taxes less Other Subsidies on Production","Euro Million","5"
"Gross Value Added (GVA) at Current Market Prices","2002","Printing and reproduction of recorded media (18)","Gross Value Added (GVA) at Basic Prices","Euro Million","617"
"Gross Value Added (GVA) at Current Market Prices","2002","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Compensation of Employees","Euro Million","3852"
"Gross Value Added (GVA) at Current Market Prices","2002","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Net Operating Surplus and Net Mixed Income","Euro Million","20778"
"Gross Value Added (GVA) at Current Market Prices","2002","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Consumption of Fixed Capital","Euro Million","1898"
"Gross Value Added (GVA) at Current Market Prices","2002","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Other Taxes less Other Subsidies on Production","Euro Million","116"
"Gross Value Added (GVA) at Current Market Prices","2002","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Gross Value Added (GVA) at Basic Prices","Euro Million","26644"
"Gross Value Added (GVA) at Current Market Prices","2002","Rubber and plastic products (22)","Compensation of Employees","Euro Million","301"
"Gross Value Added (GVA) at Current Market Prices","2002","Rubber and plastic products (22)","Net Operating Surplus and Net Mixed Income","Euro Million","225"
"Gross Value Added (GVA) at Current Market Prices","2002","Rubber and plastic products (22)","Consumption of Fixed Capital","Euro Million","71"
"Gross Value Added (GVA) at Current Market Prices","2002","Rubber and plastic products (22)","Other Taxes less Other Subsidies on Production","Euro Million","10"
"Gross Value Added (GVA) at Current Market Prices","2002","Rubber and plastic products (22)","Gross Value Added (GVA) at Basic Prices","Euro Million","607"
"Gross Value Added (GVA) at Current Market Prices","2002","Other non-metallic mineral products (23)","Compensation of Employees","Euro Million","357"
"Gross Value Added (GVA) at Current Market Prices","2002","Other non-metallic mineral products (23)","Net Operating Surplus and Net Mixed Income","Euro Million","291"
"Gross Value Added (GVA) at Current Market Prices","2002","Other non-metallic mineral products (23)","Consumption of Fixed Capital","Euro Million","126"
"Gross Value Added (GVA) at Current Market Prices","2002","Other non-metallic mineral products (23)","Other Taxes less Other Subsidies on Production","Euro Million","13"
"Gross Value Added (GVA) at Current Market Prices","2002","Other non-metallic mineral products (23)","Gross Value Added (GVA) at Basic Prices","Euro Million","787"
"Gross Value Added (GVA) at Current Market Prices","2002","Basic metals (24)","Compensation of Employees","Euro Million","93"
"Gross Value Added (GVA) at Current Market Prices","2002","Basic metals (24)","Net Operating Surplus and Net Mixed Income","Euro Million","57"
"Gross Value Added (GVA) at Current Market Prices","2002","Basic metals (24)","Consumption of Fixed Capital","Euro Million","28"
"Gross Value Added (GVA) at Current Market Prices","2002","Basic metals (24)","Other Taxes less Other Subsidies on Production","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","2002","Basic metals (24)","Gross Value Added (GVA) at Basic Prices","Euro Million","182"
"Gross Value Added (GVA) at Current Market Prices","2002","Fabricated metal products, except machinery and equipment (25)","Compensation of Employees","Euro Million","432"
"Gross Value Added (GVA) at Current Market Prices","2002","Fabricated metal products, except machinery and equipment (25)","Net Operating Surplus and Net Mixed Income","Euro Million","165"
"Gross Value Added (GVA) at Current Market Prices","2002","Fabricated metal products, except machinery and equipment (25)","Consumption of Fixed Capital","Euro Million","53"
"Gross Value Added (GVA) at Current Market Prices","2002","Fabricated metal products, except machinery and equipment (25)","Other Taxes less Other Subsidies on Production","Euro Million","13"
"Gross Value Added (GVA) at Current Market Prices","2002","Fabricated metal products, except machinery and equipment (25)","Gross Value Added (GVA) at Basic Prices","Euro Million","663"
"Gross Value Added (GVA) at Current Market Prices","2002","Electrical equipment (27)","Compensation of Employees","Euro Million","309"
"Gross Value Added (GVA) at Current Market Prices","2002","Electrical equipment (27)","Net Operating Surplus and Net Mixed Income","Euro Million","156"
"Gross Value Added (GVA) at Current Market Prices","2002","Electrical equipment (27)","Consumption of Fixed Capital","Euro Million","54"
"Gross Value Added (GVA) at Current Market Prices","2002","Electrical equipment (27)","Other Taxes less Other Subsidies on Production","Euro Million","2"
"Gross Value Added (GVA) at Current Market Prices","2002","Electrical equipment (27)","Gross Value Added (GVA) at Basic Prices","Euro Million","522"
"Gross Value Added (GVA) at Current Market Prices","2002","Motor vehicles, trailers and semi-trailers (29)","Compensation of Employees","Euro Million","87"
"Gross Value Added (GVA) at Current Market Prices","2002","Motor vehicles, trailers and semi-trailers (29)","Net Operating Surplus and Net Mixed Income","Euro Million","50"
"Gross Value Added (GVA) at Current Market Prices","2002","Motor vehicles, trailers and semi-trailers (29)","Consumption of Fixed Capital","Euro Million","43"
"Gross Value Added (GVA) at Current Market Prices","2002","Motor vehicles, trailers and semi-trailers (29)","Other Taxes less Other Subsidies on Production","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","2002","Motor vehicles, trailers and semi-trailers (29)","Gross Value Added (GVA) at Basic Prices","Euro Million","185"
"Gross Value Added (GVA) at Current Market Prices","2002","Other transport equipment (30)","Compensation of Employees","Euro Million","131"
"Gross Value Added (GVA) at Current Market Prices","2002","Other transport equipment (30)","Net Operating Surplus and Net Mixed Income","Euro Million","9"
