DATAFLOW,LAST UPDATE,freq,unit,agriprod,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ05,2019,8241,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ05,2020,9072,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ06,2011,1534,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ06,2012,3064,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ06,2013,3804,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ06,2014,4401,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ06,2015,5076,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ06,2016,5630,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ06,2017,6887,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ06,2018,7929,b
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ06,2019,8777,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ06,2020,9387,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ07,2011,1585,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ07,2012,3566,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ07,2013,3829,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ07,2014,4737,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ07,2015,4957,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ07,2016,4531,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ07,2017,6126,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ07,2018,7196,b
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ07,2019,8720,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ07,2020,8560,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ08,2011,1875,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ08,2012,3955,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ08,2013,4262,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ08,2014,4658,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ08,2015,4691,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ08,2016,4384,
