DATAFLOW,LAST UPDATE,freq,currency,prod_veg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2003,14.19,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2004,14.18,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2005,14.12,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2006,14.07,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2007,23.51,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2008,22.60,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2009,13.50,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2010,16.46,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2011,22.50,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2012,23.2,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2013,21.55,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2014,19.07,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2015,19.40,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2016,18.52,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2017,18.84,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2018,18.45,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2019,19.08,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,EL,2020,19.77,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2000,12.99,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2001,14.71,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2002,13.02,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2003,13.50,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2004,14.13,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2005,13.78,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2006,13.95,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2007,20.28,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2008,19.03,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2009,14.24,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2010,17.34,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2011,21.17,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2012,23.91,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2013,20.03,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2014,18.09,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2015,18.12,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2016,15.73,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2017,17.64,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2018,18.29,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2019,18.66,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,ES,2020,18.57,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,FI,2000,13.47,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,FI,2001,13.24,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,FI,2002,13.18,
